time,exchange,price,amount,side
2026-09-12T18:31:59.079044+00:00,nobitex,17914034158.0,0.000543,sell
2026-09-12T18:32:00.512767+00:00,bitpin,17974215861.0,0.00101003,buy
2026-09-12T18:32:17.183418+00:00,nobitex,17932999998.0,9e-06,buy
2026-09-12T18:32:17.183459+00:00,nobitex,17932999998.0,5.1e-05,buy
2026-09-12T18:32:35.125762+00:00,bitpin,17962796942.0,1.023e-05,sell
2026-09-12T18:33:08.147179+00:00,nobitex,17932999998.0,0.002004,buy
2026-09-12T18:33:08.147234+00:00,nobitex,17932999998.0,0.000768,buy
2026-09-12T18:33:08.147256+00:00,nobitex,17932999998.0,0.000261,buy
2026-09-12T18:33:08.147276+00:00,nobitex,17932999998.0,1.2e-05,buy
2026-09-12T18:33:45.026241+00:00,nobitex,17930000000.0,1e-06,sell
2026-09-12T18:33:45.026298+00:00,nobitex,17932999996.0,2.9e-05,buy
2026-09-12T18:33:46.699172+00:00,bitpin,17975452640.0,0.00033018,buy
2026-09-12T18:33:46.699219+00:00,bitpin,17975452640.0,0.00467462,sell
2026-09-12T18:33:46.699234+00:00,bitpin,17975452640.0,0.00976224,sell
2026-09-12T18:33:46.699248+00:00,bitpin,17975452644.0,0.00098131,sell
2026-09-12T18:34:03.186064+00:00,nobitex,17932999995.0,0.001875,buy
2026-09-12T18:34:04.457537+00:00,bitpin,17975452639.0,0.00059248,sell
2026-09-12T18:34:20.488281+00:00,nobitex,17932999998.0,0.000828,buy
2026-09-12T18:34:20.488311+00:00,nobitex,17932999995.0,0.000181,buy
2026-09-12T18:34:21.923269+00:00,bitpin,17981290330.0,0.00027807,buy
2026-09-12T18:34:21.923284+00:00,bitpin,17981290330.0,0.00610961,buy
2026-09-12T18:34:46.653360+00:00,nobitex,17930000000.0,0.000544,sell
2026-09-12T18:34:46.653394+00:00,nobitex,17930000000.0,2.7e-05,sell
2026-09-12T18:34:46.653408+00:00,nobitex,17932999998.0,0.000385,sell
2026-09-12T18:35:01.443111+00:00,wallex,17947245384.0,0.00027859,buy
2026-09-12T18:35:01.443161+00:00,wallex,17947245453.0,0.00033564,buy
2026-09-12T18:35:01.443177+00:00,wallex,17947245544.0,0.00038315,buy
2026-09-12T18:35:01.443191+00:00,wallex,17947245780.0,0.000899,buy
2026-09-12T18:35:01.443204+00:00,wallex,17947245780.0,0.00050019,buy
2026-09-12T18:35:01.443217+00:00,wallex,17947245790.0,0.004211,buy
2026-09-12T18:35:01.443229+00:00,wallex,17947245791.0,0.0005442,buy
2026-09-12T18:35:02.306678+00:00,nobitex,17930000000.0,0.00085,sell
2026-09-12T18:35:18.466730+00:00,nobitex,17914034158.0,2.3e-05,sell
2026-09-12T18:35:18.466772+00:00,nobitex,17930000000.0,9e-06,buy
2026-09-12T18:35:18.466788+00:00,nobitex,17930000000.0,0.001262,buy
2026-09-12T18:35:34.205421+00:00,nobitex,17914034158.0,0.000144,buy
2026-09-12T18:35:34.205475+00:00,nobitex,17890000003.0,0.000739,sell
2026-09-12T18:35:34.205495+00:00,nobitex,17890000003.0,0.000932,sell
2026-09-12T18:35:34.205515+00:00,nobitex,17890000003.0,0.00088,sell
2026-09-12T18:35:34.205536+00:00,nobitex,17900000000.0,4.1e-05,sell
2026-09-12T18:35:34.205557+00:00,nobitex,17900000003.0,0.001891,sell
2026-09-12T18:35:34.205575+00:00,nobitex,17914000000.0,0.001129,sell
2026-09-12T18:35:34.205594+00:00,nobitex,17914034158.0,1.4e-05,sell
2026-09-12T18:35:35.035469+00:00,bitpin,17985489880.0,0.00945602,sell
2026-09-12T18:35:35.035499+00:00,bitpin,17985489880.0,0.00182731,sell
2026-09-12T18:35:53.673542+00:00,bitpin,17985489880.0,0.00106051,sell
2026-09-12T18:36:10.381454+00:00,nobitex,17914034154.0,3.6e-05,buy
2026-09-12T18:36:10.381497+00:00,nobitex,17915000000.0,0.006876,sell
2026-09-12T18:36:28.490832+00:00,nobitex,17890000001.0,1e-06,sell
2026-09-12T18:36:28.490879+00:00,nobitex,17914034151.0,8.9e-05,buy
2026-09-12T18:36:28.490902+00:00,nobitex,17914034150.0,0.00088,buy
2026-09-12T18:36:28.490922+00:00,nobitex,17914034151.0,0.001073,buy
2026-09-12T18:36:28.490940+00:00,nobitex,17914034150.0,0.00088,buy
2026-09-12T18:36:45.895559+00:00,wallex,17937076335.0,0.00012793,sell
2026-09-12T18:36:47.210308+00:00,nobitex,17914034148.0,1.3e-05,buy
2026-09-12T18:36:47.210354+00:00,nobitex,17914034148.0,0.002272,buy
2026-09-12T18:36:47.210375+00:00,nobitex,17900000000.0,0.000481,buy
2026-09-12T18:37:03.490374+00:00,wallex,17933245577.0,0.00346708,buy
2026-09-12T18:37:03.490411+00:00,wallex,17933245580.0,0.00063803,buy
2026-09-12T18:37:25.523828+00:00,bitpin,17974888835.0,0.00027801,buy
2026-09-12T18:37:42.111336+00:00,wallex,17933245577.0,0.0129765,sell
